,gene_symbol,pearson,P_value
513,AKR7L,0.074688867,0.679541365
514,AKT1,0.099848528,0.580363186
515,AKT1S1,0.376847319,0.030636631
516,AKT2,-0.071056605,0.694358357
517,AKT3,0.047411172,0.793319848
518,AKTIP,0.003420943,0.984925588
519,ALAD,-0.14948304,0.406378206
520,ALAS1,-0.114819978,0.524602036
521,ALAS2,0.071316365,0.693294953
522,ALB,0.006496598,0.971376906
523,ALCAM,-0.20242935,0.258571068
524,ALDH16A1,0.242320402,0.174241189
525,ALDH18A1,-0.4745393,0.005267163
526,ALDH1A1,-0.10853072,0.547705396
527,ALDH1A2,0.189022071,0.292105087
528,ALDH1A3,-0.201131939,0.261700279
529,ALDH1B1,0.142612519,0.428525705
530,ALDH1L1,0.225868153,0.206268634
531,ALDH1L2,0.179054815,0.318755664
532,ALDH2,0.213434115,0.233021291
533,ALDH3A1,-0.018983516,0.91648975
534,ALDH3A2,0.020961444,0.907823821
535,ALDH3B1,0.117001409,0.516701075
536,ALDH3B2,-0.014956393,0.934161999
537,ALDH4A1,0.212615498,0.234860985
538,ALDH5A1,0.264217494,0.137321577
539,ALDH6A1,0.196542399,0.272968724
540,ALDH7A1,-0.117946602,0.513295965
541,ALDH8A1,0.234196869,0.189582453
542,ALDH9A1,0.161139689,0.370328134
543,ALDOA,0.005863252,0.974166363
544,ALDOB,-0.19541943,0.275773193
545,ALDOC,0.110259667,0.541306816
546,ALG1,-0.208957827,0.243200202
547,ALG10,0.091934872,0.610863111
548,ALG10B,0.154549612,0.390470882
549,ALG11,-0.259554204,0.144656675
550,ALG12,-0.11984404,0.506494046
551,ALG13,0.148656028,0.409009179
552,ALG14,0.290225509,0.101334937
553,ALG1L,-0.307832994,0.081371548
554,ALG1L2,-0.370596933,0.03374665
555,ALG2,-0.354168729,0.043158373
556,ALG3,-0.230944001,0.195983009
557,ALG5,-0.091765175,0.61152448
558,ALG6,-0.079992993,0.658115444
559,ALG8,-0.291942939,0.099238585
560,ALG9,-0.291896576,0.099294741
561,ALK,0.122036692,0.498690364
562,ALKAL1,-0.257928578,0.147279576
563,ALKAL2,0.541139954,0.001146717
564,ALKBH1,0.26890752,0.130223204
565,ALKBH2,0.10691374,0.553721586
566,ALKBH3,-0.175179944,0.32951193
567,ALKBH4,0.313649789,0.075491531
568,ALKBH5,0.347084066,0.047819114
569,ALKBH6,-0.05766362,0.74991983
570,ALKBH7,0.37883254,0.029699285
571,ALKBH8,0.014915469,0.934341758
572,ALLC,0.064242908,0.722451153
573,ALMS1,-0.144907224,0.421055439
574,ALOX12,-0.318813884,0.070552488
575,ALOX12B,0.071513685,0.692487548
576,ALOX15,-0.142862897,0.427707074
577,ALOX15B,-0.015052208,0.933741142
578,ALOX5,-0.291438606,0.099850748
579,ALOX5AP,0.059709557,0.741343854
580,ALOXE3,-0.130150653,0.470350118
581,ALPK1,0.081007776,0.654045852
582,ALPK2,0.157774284,0.380536731
583,ALPK3,0.169863144,0.344629813
584,ALPL,0.33290416,0.058351559
585,ALPP,-0.128413157,0.476346665
586,ALPPL2,0.073802994,0.683144502
587,ALS2,0.166685081,0.35386387
588,ALS2CL,-0.057789283,0.749392226
589,ALS2CR12,0.040002039,0.825075292
590,ALX1,0.278384197,0.116712013
591,ALX3,0.267161026,0.132834182
592,ALX4,0.1962447,0.273710377
593,ALYREF,0.406070828,0.019037488
594,AMACR,0.203077998,0.257015882
595,AMBN,0.049990195,0.78233946
596,AMBP,0.115501804,0.522126215
